Date,Open,High,Low,Close
1/23/2008,130.04,133.88,126.02,133.81
1/24/2008,133.37,135.46,133.27,135.00
1/25/2008,136.15,136.76,130.00,132.98
1/28/2008,132.49,135.33,131.30,135.32
1/29/2008,135.29,136.45,134.88,136.07
1/30/2008,135.40,138.54,135.05,135.36
1/31/2008,134.15,138.54,133.02,137.33
2/1/2008,137.80,139.61,137.29,139.45
2/4/2008,139.41,139.86,137.88,138.00
2/5/2008,137.75,137.86,133.68,133.70
2/6/2008,134.49,140.81,132.41,132.72
2/7/2008,133.03,134.79,131.25,133.78
2/8/2008,134.18,134.22,132.10,133.12
2/11/2008,132.86,134.23,132.04,133.91
2/12/2008,133.52,136.31,133.45,134.94
2/13/2008,135.26,137.10,134.51,136.71
2/14/2008,136.75,137.04,134.79,135.01
2/15/2008,135.51,140.00,133.36,135.06
2/19/2008,136.01,136.98,134.61,135.04
2/20/2008,134.81,137.60,133.50,136.11
2/21/2008,136.04,137.01,134.07,134.48
2/22/2008,134.64,135.65,132.86,135.64
2/25/2008,136.12,137.65,134.78,137.31
2/26/2008,137.33,138.95,136.50,138.35
2/27/2008,138.11,139.14,137.30,138.12
2/28/2008,137.68,137.96,136.55,136.99
2/29/2008,136.36,136.87,132.78,133.23
3/3/2008,132.73,133.82,132.24,133.41
3/4/2008,133.33,136.90,130.99,132.92
3/5/2008,132.86,134.77,132.34,133.70
3/6/2008,133.55,133.89,130.66,130.82
3/7/2008,130.38,132.09,128.58,129.71
3/10/2008,129.87,130.26,127.59,127.86
3/11/2008,128.36,132.46,128.22,132.39
3/12/2008,132.41,133.77,131.16,131.31
3/13/2008,129.96,134.17,128.60,131.92
3/14/2008,130.89,133.76,127.78,129.25
3/17/2008,127.06,130.50,125.60,127.90
3/18/2008,129.26,133.38,128.37,133.32
3/19/2008,132.65,134.65,130.24,130.36
3/20/2008,129.65,132.91,128.55,132.73
3/24/2008,132.79,135.81,132.55,134.77
3/25/2008,134.57,135.62,133.77,135.05
3/26/2008,134.10,134.70,133.45,133.83
3/27/2008,133.27,134.44,132.36,132.45
3/28/2008,133.30,133.70,131.06,131.40
3/31/2008,130.76,132.73,130.76,131.94
4/1/2008,132.52,136.84,132.52,136.81
4/2/2008,136.15,137.67,135.98,136.65
4/3/2008,136.72,137.44,135.65,136.79
4/4/2008,137.07,138.28,136.12,136.97
4/7/2008,137.97,138.57,136.74,137.05
4/8/2008,136.37,136.92,135.95,136.46
4/9/2008,136.32,136.97,134.89,135.39
4/10/2008,135.16,136.67,134.90,135.94
4/11/2008,136.52,136.52,133.01,133.28
4/14/2008,133.08,133.54,132.45,132.81
4/15/2008,132.75,133.70,132.33,133.50
4/16/2008,133.92,136.50,133.62,136.22
4/17/2008,136.39,136.82,135.66,136.48
4/18/2008,137.28,139.56,137.28,138.93
4/21/2008,138.59,138.98,137.85,138.79
4/22/2008,138.29,138.75,136.90,137.69
4/23/2008,138.41,138.78,137.12,137.97
4/24/2008,137.14,139.74,136.72,138.75
4/25/2008,139.00,139.89,137.91,139.76
4/28/2008,139.69,140.31,139.38,139.62
4/29/2008,139.57,139.73,138.61,139.07
4/30/2008,139.11,140.59,138.35,138.43
5/1/2008,138.69,141.02,138.26,140.94
