date,spy_overnight_gap,overnight_return,strategy_return
2007-04-27,-0.002008166543945264,-0.00021500752526337763,-0.00021500752526337763
2007-04-30,0.0016064257028111156,0.00021758050478681845,0.00021758050478681845
2007-05-01,0.001281791810024946,0.0004341219882788572,0.0004341219882788572
2007-05-07,0.0015267175572518405,-0.0030036472859901187,-0.0030036472859901187
2007-05-08,-0.0025172231054583693,-0.005135887010485618,-0.005135887010485618
2007-05-09,-0.0014583057139071142,-0.0036293766011955553,-0.0036293766011955553
2007-05-10,-0.0042938300964460675,0.0028193450444589097,0.0028193450444589097
2007-05-14,0.0003315430011273216,-0.0008611410118408713,-0.0008611410118408713
2007-05-15,0.000996346728661423,0.00369244135534319,0.00369244135534319
2007-05-17,-0.0015170503264957335,0.0030211480362536403,0.0030211480362536403
2007-05-21,0.0005245901639345082,0.00042535091450446316,0.00042535091450446316
2007-05-22,-6.54835963592386e-05,0.0010606703436570886,0.0010606703436570886
2007-05-24,0.0009843811523822397,0.0030355594102342565,0.0030355594102342565
2007-05-29,0.0005268010009217968,-0.005775401069518793,-0.005775401069518793
2007-05-30,-0.004076801683324595,0.0027548209366392573,0.0027548209366392573
2007-05-31,0.0018908521875203236,-0.003583473861719977,-0.003583473861719977
2007-06-04,0.0012389957613302754,-0.0031525851197982124,-0.0031525851197982124
2007-06-05,-0.0032417012448132778,-0.004413619167717542,-0.004413619167717542
2007-06-06,-0.0034541188738269105,-0.004245383145829007,-0.004245383145829007
2007-06-07,-0.0035502958579881135,0.0,0.0
2007-06-08,0.0009373326191750559,-0.0002132196162046851,-0.0002132196162046851
2007-06-11,-0.0007944389275074779,-0.005339598462195672,-0.005339598462195672
2007-06-12,-0.004163912756113839,0.004081632653061273,0.004081632653061273
2007-06-14,0.0007239223428760358,0.00823479729729737,0.00823479729729737
2007-06-19,-0.0022890778286461366,0.0012560184216034997,0.0012560184216034997
2007-06-21,0.0005298013245033941,-0.0020946795140344143,-0.0020946795140344143
2007-06-22,-0.003026714041321092,-0.00021132713440397133,-0.00021132713440397133
2007-06-25,0.0,0.0055248618784529135,0.0055248618784529135
2007-06-27,-0.006239098349657902,-0.0006309148264983522,-0.0006309148264983522
2007-06-28,-0.0011291929591498897,0.006105263157894614,0.006105263157894614
2007-07-05,0.00039385584875936897,0.0,0.0
2007-07-06,-0.00032801941874966453,0.0006138735420504471,0.0006138735420504471
2007-07-09,0.0013729977116705328,-0.005929257820486589,-0.005929257820486589
2007-07-10,-0.005225684238029991,-0.0026804123711340333,-0.0026804123711340333
2007-07-11,-0.000994035785288308,0.0051229508196721785,0.0051229508196721785
2007-07-13,-0.0010340593291539883,-0.0012009607686149781,-0.0012009607686149781
2007-07-16,-0.0008380608561113683,0.002206177296429912,0.002206177296429912
2007-07-17,0.00019367333763719262,-0.005377414857598128,-0.005377414857598128
2007-07-18,-0.0041324982243172645,0.005786113328012821,0.005786113328012821
2007-07-20,-0.0020617228271375657,0.0025958466453674944,0.0025958466453674944
2007-07-24,-0.00610151888874463,0.007110930516050384,0.007110930516050384
2007-07-26,-0.010214841175695343,-0.0016336532570961904,-0.0016336532570961904
2007-07-27,-0.0022887916526422307,0.0024953212726137597,0.0024953212726137597
2007-07-30,-0.0006163539241200069,0.008858673259167782,0.008858673259167782
2007-08-01,-0.0015130674002750953,0.0006261740763933155,0.0006261740763933155
2007-08-02,0.0009548492702222504,-0.0006213753106877329,-0.0006213753106877329
2007-08-03,-6.789327177670518e-05,0.006147975408098416,0.006147975408098416
2007-08-07,-0.005655106629420266,0.0070583350633173225,0.0070583350633173225
2007-08-09,-0.01476877840149679,-0.010272536687631062,-0.010272536687631062
2007-08-10,-0.009127093055174392,0.006331785563528758,0.006331785563528758
2007-08-14,0.001374570446735317,-0.0014973262032085266,-0.0014973262032085266
2007-08-15,-0.00028019052956004516,-0.007626933972543104,-0.007626933972543104
2007-08-16,-0.007877927608232886,0.017131561607731216,0.017131561607731216
2007-08-21,-0.0010362694300518527,0.007227891156462718,0.007227891156462718
2007-08-24,-0.0006140410725250967,-0.0033188135241651873,-0.0033188135241651873
2007-08-27,-0.002092332613390944,-0.006056808688387649,-0.006056808688387649
2007-08-28,-0.005172883201742384,0.006632434745399873,0.006632434745399873
2007-08-30,-0.008588371617476786,0.011384806458290209,0.011384806458290209
2007-09-04,6.781040211562288e-05,-0.003618817852834688,-0.003618817852834688
2007-09-05,-0.006902097433491934,0.0028519046649011504,0.0028519046649011504
2007-09-07,-0.012005125784042631,0.008086253369272267,0.008086253369272267
2007-09-12,-0.002370631265239734,0.0073574494175352445,0.0073574494175352445
2007-09-14,-0.005644781936697826,-0.004470636049583421,-0.004470636049583421
2007-09-17,-0.004096159011549727,0.005943840951014634,0.005943840951014634
2007-09-20,-0.00019560539870901178,0.006002400960384291,0.006002400960384291
2007-09-24,-0.00019701845406187125,-0.003558718861209953,-0.003558718861209953
2007-09-25,-0.001847575057736728,0.004308656482569395,0.004308656482569395
2007-09-28,-0.0023537103628635844,0.0017509727626459082,0.0017509727626459082
2007-10-01,0.0018364268380665124,-0.0021145713187237236,-0.0021145713187237236
2007-10-02,-0.0011001812063164374,-0.0026912725874663757,-0.0026912725874663757
2007-10-03,-0.00297869584925214,0.0,0.0
2007-10-04,0.0018855656697008584,0.0007727975270479526,0.0007727975270479526
2007-10-05,0.0014270887389724889,0.0,0.0
2007-10-08,-0.0013496143958869407,-0.00018814675446843232,-0.00018814675446843232
2007-10-09,0.0008376828403891711,-0.0001873360809292457,-0.0001873360809292457
2007-10-10,-0.0015344287449652139,0.00411214953271033,0.00411214953271033
2007-10-12,-0.0021243723445346497,0.001868111339435874,0.001868111339435874
2007-10-16,-0.00465026157721371,0.011724659606656473,0.011724659606656473
2007-10-18,0.0007790690125300562,-0.0007437709185570407,-0.0007437709185570407
2007-10-19,-0.005590950461578373,-0.004196070951745123,-0.004196070951745123
2007-10-22,-0.0048009601920384,0.0062217194570135526,0.0062217194570135526
2007-10-24,-0.007041790062520522,0.0011152416356878803,0.0011152416356878803
2007-10-25,-0.0011216679862761673,0.012241054613935987,0.012241054613935987
2007-10-30,-0.001493506493506427,0.0009214891264284208,0.0009214891264284208
2007-10-31,0.0014373448320919827,-0.002362777171937558,-0.002362777171937558
2007-11-01,-0.0019379844961241043,0.0024074074074074137,0.0024074074074074137
2007-11-02,0.0015254012468496469,-0.0073475385745774835,-0.0073475385745774835
2007-11-05,-0.006551085230280632,0.002958032908116026,0.002958032908116026
2007-11-06,0.001864305213396372,-0.006216858657889901,-0.006216858657889901
2007-11-07,-0.004997041225590051,-0.007499062617172925,-0.007499062617172925
2007-11-09,6.778282383237921e-05,0.0019996000799840097,0.0019996000799840097
2007-11-12,0.0010325600605767002,-0.0006153846153846843,-0.0006153846153846843
2007-11-14,0.00047233468286114446,-0.0015974440894568342,-0.0015974440894568342
2007-11-15,-0.001903467029231823,-0.0012045773940976279,-0.0012045773940976279
2007-11-16,0.0010319917440660866,-0.0013905442987683925,-0.0013905442987683925
2007-11-19,-0.0007532182963570612,0.005230335948501308,0.005230335948501308
2007-11-21,-0.005270457697642101,0.0040551500405514584,0.0040551500405514584
2007-11-28,-0.0032846460269760212,-0.0034924330616996624,-0.0034924330616996624
2007-11-29,-0.004278438030560241,0.003286294219988495,0.003286294219988495
2007-12-03,-0.0017515494475881898,-0.0017692156477294718,-0.0017692156477294718
2007-12-04,-0.0023043036258895517,0.0047374654559810825,0.0047374654559810825
2007-12-06,0.0016122531237402972,-0.0024842346646282154,-0.0024842346646282154
2007-12-07,-0.0031764939448085377,-0.001145694099675243,-0.001145694099675243
2007-12-10,-0.0015921454159480502,0.00038058991436740186,0.00038058991436740186
