Date,Signal,Return,Equity
2007-05-08,1,-0.0051358870104856605,99486.41129895144
2007-05-09,1,-0.0036293766011955956,99125.33764564611
2007-05-10,1,0.0028193450444589582,99404.80617511767
2007-05-11,1,0.0008559811684144288,99489.89481725346
2007-05-14,1,-0.0008611410118408235,99404.21998856257
2007-05-15,1,0.003692441355343217,99771.26424134398
2007-05-16,1,-0.000859475719810897,99685.51326219371
2007-05-17,1,0.003021148036253635,99986.67795482872
2007-05-18,1,0.0012853470437018482,100115.19553574752
2007-05-21,1,0.0004253509145043815,100157.77962572445
2007-05-22,1,0.001060670343657131,100264.01401226
2007-05-23,1,0.00021344717182493085,100285.41508248671
2007-05-24,1,0.003035559410234184,100589.8374179496
2007-05-25,1,0.0006457167455876267,100654.78996040631
2007-05-29,1,-0.005775401069518783,100073.4681788168
2007-05-30,1,0.0027548209366391727,100349.1526641579
2007-05-31,1,-0.003583473861719954,99989.55409854013
2007-06-04,1,-0.0031525851197982046,99674.32851815382
2007-06-05,1,-0.004413619167717546,99234.40399127672
2007-06-06,1,-0.0042453831458289714,98813.11592508577
2007-06-07,1,0.0,98813.11592508577
2007-06-08,1,-0.00021321961620464843,98792.04703043224
2007-06-11,1,-0.005339598462195643,98264.53716803138
2007-06-12,1,0.004081632653061329,98665.61691157437
2007-06-13,1,0.0008499787505312186,98749.48058935726
2007-06-14,1,0.008234797297297309,99562.66254522403
2007-06-15,1,0.0018844221105528353,99750.28062790974
2007-06-18,1,-0.003556485355648423,99395.52021563477
2007-06-19,1,0.0012560184216034156,99520.36282005046
2007-06-20,1,0.0010579771476937,99625.65308964427
2007-06-21,1,-0.0020946795140343822,99416.96927504509
2007-06-22,1,-0.00021132713440401543,99395.95977181708
2007-06-25,1,0.005524861878452996,99945.10872083264
2007-06-26,1,-0.0036239607759538397,99582.9115670799
2007-06-27,1,-0.0006309148264982972,99520.08323170635
2007-06-28,1,0.006105263157894719,100127.67952933148
2007-06-29,1,0.003153910849453292,100443.47330412964
2007-07-02,1,0.0014574224443056481,100589.86187650709
2007-07-03,1,0.0008279859242392702,100673.14886626202
2007-07-05,1,0.0,100673.14886626202
2007-07-06,1,0.0006138735420503609,100734.94944874593
2007-07-09,1,-0.005929257820486591,100137.66596193063
2007-07-10,1,-0.002680412371134073,99869.25572326979
2007-07-11,1,0.005122950819672132,100380.88100873737
2007-07-12,1,-0.0008054772452678041,100300.0264932249
2007-07-13,1,-0.0012009607686149374,100179.57009631548
2007-07-16,1,0.0022061772964299927,100400.58398942808
2007-07-17,1,-0.00537741485759815,99860.6883973718
2007-07-18,1,0.005786113328012752,100438.49365745236
2007-07-19,1,-0.0025783419278064767,100179.52887808962
2007-07-20,1,0.002595846645367463,100439.57957206231
2007-07-23,1,-0.0069916100679185255,99737.34519630879
2007-07-24,1,0.007110930516050415,100446.57052785506
2007-07-25,1,-0.007283026502124205,99715.0154926532
2007-07-26,1,-0.0016336532570961466,99552.11573281224
2007-07-27,1,0.0024953212726137957,99800.53024493402
2007-07-30,1,0.008858673259167692,100684.63053346559
2007-08-03,1,0.006147975408098349,101303.6371659588
2007-08-06,1,-0.0020842017507293523,101092.49994802228
2007-08-08,1,-0.011689909762100088,99910.73774600479
2007-08-09,1,-0.010272536687631069,98884.40102702066
2007-08-10,1,0.006331785563528855,99510.51584990174
2007-08-13,1,0.0016803192606594894,99677.7252863225
2007-08-14,1,-0.0014973262032085622,99528.47521637507
2007-08-15,1,-0.0076269339725430685,98769.37810751189
2007-08-16,1,0.017131561607731192,100461.45179351802
2007-08-17,1,0.0012925463162428946,100591.30287295814
2007-08-22,1,0.003989082511022417,100992.56988000961
2007-08-23,1,-0.0023162771109707186,100758.64310201845
2007-08-24,1,-0.0033188135241651877,100424.24395461494
2007-08-27,1,-0.006056808688387617,99815.99352130586
2007-08-28,1,0.006632434745399982,100478.01658488318
2007-08-29,1,-0.005613305613305678,99914.00277037344
2007-08-30,1,0.01138480645829015,101051.50435438722
2007-08-31,1,0.0012277470841007218,101175.57004420231
2007-09-04,1,-0.003618817852834735,100809.4340850556
2007-09-05,1,0.0028519046649010684,101096.93298038882
2007-09-06,1,-0.012815296989422202,99801.34575952543
2007-09-07,1,0.00808625336927225,100608.36472793129
2007-09-10,1,0.006222775357809524,101234.42798074978
2007-09-11,1,-0.002247191011235943,101006.93488416381
2007-09-12,1,0.007357449417535243,101750.08829839432
2007-09-13,1,-0.007524913565182114,100984.42767869924
2007-09-14,1,-0.004470636049583395,100532.9630558723
2007-09-17,1,0.005943840951014535,101130.51499861063
2007-09-18,1,0.004393848611943257,101574.8671715624
2007-09-19,1,-0.0023909145248056872,101332.0103462867
2007-09-20,1,0.00600240096038424,101940.24570250693
2007-09-21,1,0.0017867778439548028,102122.39027493547
2007-09-24,1,-0.003558718861209959,101758.96539851224
2007-09-25,1,0.004308656482569504,102197.40982443608
2007-09-26,1,0.0009738994935722079,102296.93983010847
2007-09-27,1,-0.00213509316770199,102078.5263328004
2007-09-28,1,0.0017509727626459808,102257.26305206015
2007-10-01,1,-0.0021145713187236933,102041.03277647909
2007-10-02,1,-0.00269127258746637,101766.412542171
2007-10-03,1,0.0,101766.412542171
2007-10-04,1,0.000772797527047897,101845.05737412012
2007-10-05,1,0.0,101845.05737412012
2007-10-08,1,-0.000188146754468448,101825.89555711654
2007-10-09,1,-0.0001873360809292828,101806.81989290577
2007-10-10,1,0.004112149532710259,102225.4647597551
2007-10-11,1,0.00037972280235420584,102264.28209970561
2007-10-12,1,0.0018681113394358568,102455.32316471534
2007-10-15,1,-0.005648653737525836,101876.58852059155
2007-10-16,1,0.011724659606656532,103071.05684288291
2007-10-17,1,0.0,103071.05684288291
2007-10-18,1,-0.0007437709185570686,102994.39558825825
2007-10-19,1,-0.004196070951745162,102562.2237967378
2007-10-22,1,0.006221719457013543,103200.33718008854
2007-10-23,1,-0.01070110701107021,102095.97932834589
2007-10-24,1,0.0011152416356877747,102209.84101532919
2007-10-25,1,0.012241054613935943,103460.99726127955
2007-10-26,1,0.006302131603336354,104113.02208183255
2007-10-29,1,-0.001662356852604422,103939.94908612946
2007-10-30,1,0.0009214891264283868,104035.72861901387
2007-10-31,1,-0.0023627771719375236,103789.91537436697
2007-11-01,1,0.002407407407407455,104039.77998545342
2007-11-02,1,-0.00734753857457749,103275.34368871973
2007-11-05,1,0.0029580329081160396,103580.83555394797
2007-11-06,1,-0.006216858657889858,102936.88813964295
2007-11-07,1,-0.007499062617172959,102164.95796986684
2007-11-08,1,-0.005989180834621236,101553.07356162384
2007-11-19,1,0.005230335948501267,102084.23025295399
2007-11-20,1,-0.0076106549168836884,101307.30240404306
2007-11-21,1,0.004055150040551558,101718.11871549499
2007-11-23,1,0.005822124071471575,102310.33422297327
2007-11-26,1,0.011644535240040863,103501.69051525304
2007-11-27,1,-0.0007996801279489455,103418.92227013886
2007-11-28,1,-0.0034924330616996455,103057.73860679728
2007-11-29,1,0.0032862942199884345,103396.41665750588
2007-11-30,1,-0.00019481784531459208,103376.27319039941
2007-12-04,1,0.004737465455981089,103866.01471360699
2007-12-05,1,0.0023242300987797297,104107.42323124467
2007-12-06,1,-0.0024842346646282336,103848.7959616085
2007-12-07,1,-0.0011456940996752945,103729.8170088169
2007-12-10,1,0.0003805899143673288,103769.29553098964
2007-12-11,1,0.007990645098421293,104598.47914369096
2007-12-12,1,-0.006755452615325254,103891.86907420067
2007-12-13,1,-0.0033003300330031954,103548.99161851025
2007-12-14,1,-0.008235294117647092,102696.23521694604
2007-12-17,1,0.006633165829145695,103377.43637516898
